sex,age,pop,dths
1,0,59502,166
1,1,60065,10
1,2,60050,13
1,3,60029,4
1,4,61053,8
1,5,61531,3
1,6,60387,7
1,7,59668,4
1,8,59024,1
1,9,57747,2
1,10,56807,3
1,11,56373,4
1,12,55088,6
1,13,53397,5
1,14,52613,6
1,15,52165,7
1,16,52450,10
1,17,53741,16
1,18,55276,19
1,19,58407,33
1,20,62484,40
1,21,65748,40
1,22,68821,44
1,23,71431,44
1,24,72908,61
1,25,71825,64
1,26,69954,58
1,27,68002,54
1,28,66316,50
1,29,66015,48
1,30,64630,47
1,31,63020,34
1,32,62508,44
1,33,62251,60
1,34,62775,40
1,35,63026,59
1,36,61157,53
1,37,60670,54
1,38,61536,40
1,39,62999,51
1,40,65415,67
1,41,66257,65
1,42,66143,75
1,43,66672,72
1,44,65731,73
1,45,64381,80
1,46,65187,81
1,47,68270,120
1,48,70349,124
1,49,70557,147
1,50,70163,159
1,51,67611,153
1,52,63598,199
1,53,60764,207
1,54,59089,223
1,55,58661,236
1,56,58536,254
1,57,58321,284
1,58,58537,322
1,59,57870,331
1,60,56294,368
1,61,56178,379
1,62,56219,440
1,63,55117,483
1,64,55674,541
1,65,57430,616
1,66,58622,726
1,67,59289,759
1,68,59329,819
1,69,58863,901
1,70,57416,978
1,71,53971,1129
1,72,49115,1045
1,73,43388,1014
1,74,38650,1047
1,75,36595,1128
1,76,34463,1101
1,77,31625,1153
1,78,29041,1279
1,79,26695,1271
1,80,24165,1392
1,81,21926,1331
1,82,20633,1423
1,83,19137,1505
1,84,17523,1599
1,85,15538,1689
1,86,13755,1657
1,87,11966,1617
1,88,10183,1575
1,89,8757,1566
1,90,7205,1370
1,91,5839,1306
1,92,4524,1140
1,93,3452,970
1,94,2683,791
1,95,1777,661
1,96,1065,360
1,97,698,290
1,98,434,192
1,99,232,123
1,100,143,73
1,101,94,41
1,102,45,27
1,103,19,11
1,104,8,8
1,105,3,2
1,106,3,1
1,107,4,2
1,108,1,1
1,109,0,1
1,110,0,0
2,0,55368,116
2,1,56688,11
2,2,56708,6
2,3,56863,3
2,4,57855,4
2,5,58139,0
2,6,56927,6
2,7,56246,5
2,8,55838,5
2,9,54861,5
2,10,53883,11
2,11,53371,2
2,12,52430,2
2,13,50644,8
2,14,49431,10
2,15,48983,3
2,16,48811,11
2,17,49443,2
2,18,51251,10
2,19,54329,12
2,20,58581,15
2,21,62231,16
2,22,65044,11
2,23,67466,18
2,24,69277,18
2,25,68702,15
2,26,66880,19
2,27,65256,18
2,28,63670,19
2,29,62467,23
2,30,60940,16
2,31,59447,23
2,32,59169,23
2,33,59335,24
2,34,60152,28
2,35,60305,15
2,36,58707,20
2,37,58265,24
2,38,59067,28
2,39,60741,23
2,40,63297,33
2,41,64242,32
2,42,64363,42
2,43,64845,46
2,44,64066,47
2,45,62689,45
2,46,63457,66
2,47,66126,65
2,48,67664,77
2,49,67906,105
2,50,67990,105
2,51,65391,114
2,52,61498,103
2,53,59212,116
2,54,57941,115
2,55,57592,154
2,56,57397,169
2,57,57706,189
2,58,57840,192
2,59,57294,227
2,60,56304,262
2,61,56106,275
2,62,56349,278
2,63,55731,336
2,64,56334,356
2,65,58262,419
2,66,60107,467
2,67,60935,522
2,68,60921,571
2,69,60279,679
2,70,58740,647
2,71,55855,763
2,72,51141,720
2,73,45578,696
2,74,41361,710
2,75,39935,843
2,76,38826,822
2,77,36496,936
2,78,34352,945
2,79,32253,1002
2,80,30260,1132
2,81,28758,1257
2,82,27829,1356
2,83,26971,1574
2,84,25851,1617
2,85,24026,1796
2,86,22241,1858
2,87,20407,1923
2,88,18383,2047
2,89,16545,2146
2,90,14505,2089
2,91,12332,2100
2,92,10126,1999
2,93,8485,1898
2,94,7117,1705
2,95,5061,1428
2,96,3297,969
2,97,2324,781
2,98,1584,604
2,99,1021,418
2,100,654,324
2,101,407,204
2,102,240,121
2,103,151,70
2,104,77,36
2,105,40,24
2,106,18,11
2,107,8,9
2,108,7,2
2,109,4,2
2,110,2,2
