location,iso3166
160,AF
43,AL
139,DZ
298,AS
74,AD
168,AO
105,AG
97,AR
33,AM
71,AU
75,AT
34,AZ
140,BH
161,BD
107,BB
57,BY
76,BE
108,BZ
200,BJ
305,BM
162,BT
44,BA
193,BW
135,BR
45,BG
201,BF
175,BI
10,KH
202,CM
101,CA
169,CF
204,TD
98,CL
6,CN
125,CO
176,KM
170,CG
126,CR
46,HR
109,CU
77,CY
78,DK
177,DJ
110,DM
111,DO
122,EC
141,EG
127,SV
172,GQ
178,ER
58,EE
179,ET
22,FJ
79,FI
80,FR
173,GA
35,GE
533,GE
81,DE
207,GH
82,GR
349,GL
112,GD
351,GU
128,GT
208,GN
209,GW
113,GY
114,HT
129,HN
48,HU
83,IS
163,IN
11,ID
143,IQ
84,IE
85,IL
86,IT
115,JM
67,JP
144,JO
36,KZ
180,KE
23,KI
145,KW
37,KG
59,LV
146,LB
194,LS
210,LR
147,LY
60,LT
87,LU
181,MG
182,MW
13,MY
14,MV
211,ML
88,MT
24,MH
212,MR
183,MU
130,MX
38,MN
50,ME
148,MA
184,MZ
15,MM
195,NA
164,NP
89,NL
72,NZ
131,NI
213,NE
214,NG
376,MP
90,NO
150,OM
165,PK
132,PA
26,PG
136,PY
123,PE
16,PH
51,PL
91,PT
385,PR
151,QA
52,RO
62,RU
185,RW
116,LC
117,VC
27,WS
215,ST
152,SA
216,SN
53,RS
186,SC
217,SL
69,SG
54,SK
55,SI
28,SB
187,SO
196,ZA
435,SS
92,ES
17,LK
522,SD
118,SR
93,SE
94,CH
39,TJ
18,TH
19,TL
218,TG
29,TO
119,TT
154,TN
155,TR
40,TM
190,UG
63,UA
156,AE
99,UY
41,UZ
30,VU
157,YE
191,ZM
198,ZW
106,BS
121,BO
66,BN
203,CV
171,CD
205,CI
47,CZ
206,GM
7,KP
68,KR
12,LA
25,FM
61,MD
149,PS
153,SY
8,TW
189,TZ
95,GB
102,US
133,VE
20,VN
4749,ENG
433,NIR
434,SCT
4636,WLS
