yrwk	sabohem	unvacc	vacc
2021-1	1499	1499	0
2021-2	1308	1308	0
2021-3	1001	1001	0
2021-4	640	640	0
2021-5	499	496	3
2021-6	361	350	11
2021-7	291	256	35
2021-8	275	252	23
2021-9	237	200	37
2021-10	236	204	32
2021-11	243	191	52
2021-12	230	169	61
2021-13	200	124	76
2021-14	194	127	67
2021-15	227	121	106
2021-16	214	84	130
2021-17	146	74	72
2021-18	155	63	92
2021-19	143	48	95
2021-20	86	28	58
2021-21	45	13	32
2021-22	46	17	29
2021-23	35	15	20
2021-24	17	6	11
2021-25	16	4	12
2021-26	24	3	21
2021-27	12	1	11
2021-28	15	3	12
2021-29	13	4	9
2021-30	21	2	19
2021-31	24	2	22
2021-32	36	2	34
2021-33	70	7	63
2021-34	89	14	75
2021-35	104	8	96
2021-36	181	19	162
2021-37	144	13	131
2021-38	122	24	98
2021-39	170	16	154
2021-40	116	12	104
2021-41	82	10	72
2021-42	119	11	108
2021-43	81	11	70
2021-44	77	17	60
2021-45	104	15	89
2021-46	84	12	72
2021-47	82	11	71
2021-48	107	25	82
2021-49	114	20	94
2021-50	147	29	118
2021-51	197	37	160
2021-52	577	57	520
2022-1	1294	129	1165
2022-2	2207	244	1963
2022-3	3017	280	2737
2022-4	3353	299	3054
2022-5	3616	286	3330
2022-6	3527	266	3261
2022-7	2895	196	2699
2022-8	2493	138	2355
2022-9	2102	105	1997
2022-10	1837	106	1731
2022-11	1303	65	1238
2022-12	964	48	916
2022-13	714	46	668
2022-14	622	42	580
2022-15	430	36	394
2022-16	362	26	336
2022-17	316	26	290
2022-18	245	23	222
2022-19	214	15	199
2022-20	173	18	155
2022-21	187	9	178
2022-22	162	9	153
2022-23	153	9	144
2022-24	210	15	195
2022-25	429	26	403
2022-26	625	30	595
2022-27	700	49	651
2022-28	828	55	773
2022-29	1051	55	996
2022-30	1022	48	974
2022-31	1181	81	1100
2022-32	1150	50	1100
2022-33	980	48	932
2022-34	659	21	638
2022-35	694	44	650
2022-36	807	55	752
2022-37	971	51	920
2022-38	966	50	916
2022-39	917	53	864
2022-40	896	33	863
2022-41	627	37	590
2022-42	700	40	660
2022-43	766	31	735
2022-44	721	39	682
2022-45	897	44	853
2022-46	846	54	792
2022-47	991	62	929
2022-48	1732	96	1636
2022-49	2426	111	2315
2022-50	3168	149	3019
2022-51	3725	170	3555
2022-52	2969	129	2840
2023-1	1814	86	1728
2023-2	1244	63	1181
2023-3	572	25	547
2023-4	398	17	381
2023-5	360	16	344
2023-6	260	7	253
2023-7	265	12	253
2023-8	259	15	244
2023-9	285	6	279
